,Nombre,Score,Excelente,MuyBueno,Normal,Malo,Pesimo,Num_Reviews,Posicion,Rango_precio,Tipo_Cocina,Awards,Score_Comida,Score_Servicio,Calidad_Precio,Ambiente,Direccion,Web_TripAdvisor,Latina,Eur Este,Africana,China,Japonesa,Arabe,Mexicana,Caribeña,Asiatica,America Norte,America Sur,Italiana,Española,Eur Occidental,Asador,N/A,India,Num_Reviews_Spain,Latitud,Longitud
0,El Capote,3.5,8,10,4,3,6,35,3525.0,€,['Española'],0,3.0,3.5,3.5,,"['Calle Alcala 269', ' 28027 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2009973-Reviews-El_Capote-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,40.4207361,-3.6848303
1,La Queda,4.5,8,3,0,0,0,13,1734.0,€,['Española'],0,,,,,"['Calle de Antonio López', ' 48', ' 28019 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d17851073-Reviews-La_Queda-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,40.39533,-3.71088
2,Limbo Tribunal,4.0,86,57,11,12,8,191,41.0,€€ - €€€,"['Restaurante de carne', 'Barbacoa']",1,4.0,4.0,4.0,,"['Calle de San Mateo 3', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14921240-Reviews-Limbo_Tribunal-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,174,40.4252314,-3.7002181
3,400 Grados Pizza - Maria de Molina,5.0,20,1,1,0,0,25,196.0,€€ - €€€,"['Italiana', 'Pizza', 'Saludable']",0,,,,,"['Calle Maria de Molina 30', ' 28006 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d21407059-Reviews-400_Grados_Pizza_Maria_de_Molina-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,40.4374733,-3.6785947
4,Ginos,3.5,15,11,11,9,8,66,2166.0,€€ - €€€,"['Italiana', 'Mediterránea', 'Opciones vegetarianas']",0,4.0,3.5,3.5,,"[""Calle de O'donnell"", ' 17', ' 28009 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8758881-Reviews-Ginos_O_Donnell-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,54,,
5,Tento,2.0,0,0,0,1,0,1,4467.0,€,"['Mediterránea', 'Española']",0,,,,,"['Calle de Serrano Galvache', ' 56', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12936963-Reviews-Tento-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40.4754256,-3.6726133
6,Naki's Urban Food,3.5,1,1,0,1,0,3,3946.0,€€ - €€€,[],0,,,,,"['Calle Albasanz 2', ' 28037 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23336176-Reviews-Naki_s_Urban_Food-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,40.4347159,-3.6351709
7,Lamiak,4.5,69,52,20,9,10,304,244.0,€,"['Bar', 'Mediterránea', 'Española']",1,4.5,4.0,4.5,3.5,"['Calle Cava Baja 42', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5517417-Reviews-Lamiak-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,160,40.411831,-3.710589
8,Garden Navarra Castellana,3.0,24,25,34,13,32,141,4513.0,€€ - €€€,"['Mediterránea', 'Europea', 'Española']",0,3.0,3.0,3.0,,"['Plaza San Juan de La Cruz', ' 1 Esquina Calle Zurbano', ' 95', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d7715194-Reviews-Garden_Navarra_Castellana-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,128,,
9,Restaurante Uval,4.0,49,18,6,3,8,89,901.0,€€ - €€€,"['Mediterránea', 'Española', 'Opciones sin gluten']",1,4.0,4.0,3.5,,"['Plaza de la Republica Argentina 6', ' 28002 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15355806-Reviews-Restaurante_Uval-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,84,40.4449078,-3.6855765
10,Healthy Poke Plaza Elíptica,4.5,2,0,1,0,0,3,5851.0,€€ - €€€,"['Comida rápida', 'Fusión', 'Saludable']",0,,,,,"['Avenida Princesa Juana De Austria', ' 2 Interior Gimnasio Go Fit', ' 28026 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23479008-Reviews-Healthy_Poke_Plaza_Eliptica-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,
11,Trattoria da Piero,4.5,29,8,4,0,1,45,36.0,€€ - €€€,"['Italiana', 'Pizza', 'Mediterránea']",0,4.5,4.5,4.5,,"['Carril del Conde 106', ' 28043 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14108074-Reviews-Trattoria_da_Piero-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,42,40.4624057,-3.6528385
12,La Fondue de Tell,4.0,64,102,38,9,19,255,5.0,€€ - €€€,"['Suiza', 'Europea', 'Centroeuropea']",0,4.0,3.5,3.5,4.0,"['Calle Divino Pastor 12', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d1535929-Reviews-La_Fondue_de_Tell-Madrid.html,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,232,40.4277425,-3.7041441
